Clone	PY06	SG06	DM06	ST06	NS06	NI06	PY07	FM07	SG07	DM07	ST07	NS07	NI07	PY08	FM08	SG08	DM08	ST08	NS08	NI08	PY14	FM14	SG14	DM14	ST14	NS14	NI14
B2721-150	0.57500	1.07624	24.93300	2.00000	9.00000	0.00000	0.39500	89.63000	1.07686	22.13300	2.00000	8.60000	27.50000	0.24750	89.13000	1.07807	21.61700	2.00000	9.00000	0.00000	0.18990	43.75000	1.08090	NA	2.00000	NA	NA
B2721-151	1.84170	1.06918	20.53900	1.00000	8.28600	49.00000	1.35200	68.13000	1.08264	22.23500	1.50000	8.77500	17.50000	0.67000	69.25000	1.06777	18.61800	1.50000	9.00000	0.00000	1.15750	85.75000	1.06763	19.96400	2.00000	8.35000	8.35000
B2721-152	2.68330	1.06856	20.06400	1.00000	9.00000	0.00000	0.84500	93.38000	1.07615	20.62400	0.00000	9.00000	0.00000	0.44450	120.25000	1.07560	20.64500	0.00000	9.00000	0.00000	0.84550	93.25000	1.07323	20.04900	2.00000	9.00000	0.00000
B2721-153	2.06670	1.06466	20.50900	2.00000	9.00000	0.00000	0.70400	85.88000	1.07571	20.93500	1.50000	9.00000	0.00000	0.36150	93.13000	1.07412	17.30100	0.00000	9.00000	0.00000	0.78100	93.25000	1.06946	20.87500	3.00000	8.50000	8.50000
B2721-154	2.09170	1.06872	21.40500	2.00000	8.40000	21.50000	0.88350	59.13000	1.06389	19.79100	1.50000	7.50000	45.00000	0.57950	45.88000	1.05437	15.39600	1.50000	8.57500	17.50000	0.87350	88.62500	1.06387	19.18100	2.50000	7.62500	47.50000
B2721-155	1.92500	1.07090	21.09500	1.00000	9.00000	0.00000	0.73950	118.75000	1.07863	20.34300	0.00000	9.00000	0.00000	0.48350	133.00000	1.07314	19.34900	0.00000	9.00000	0.00000	0.58900	90.37500	1.07080	20.29600	1.00000	9.00000	9.00000
B2721-156	2.37500	1.07547	21.77700	2.00000	8.92900	3.60000	1.15100	69.63000	1.07753	21.58500	1.50000	8.95000	2.50000	0.66900	81.75000	1.06968	20.44100	1.50000	9.00000	0.00000	0.49700	95.25000	1.07306	19.02100	3.00000	8.65000	17.50000
B2721-157	1.53000	1.06592	21.07600	2.00000	8.90900	9.10000	0.46850	53.25000	1.05227	17.39700	1.50000	8.45900	23.30000	0.37050	18.63000	1.04287	18.73900	3.00000	7.75400	49.70000	0.20800	89.50000	1.06708	18.59800	2.00000	8.85317	8.85317
B2721-158	2.94170	1.07683	21.20700	2.00000	7.70300	45.90000	1.21550	73.50000	1.07795	21.54600	1.00000	7.77500	42.50000	0.75100	79.25000	1.07581	22.87000	1.00000	9.00000	0.00000	1.14850	91.50000	1.07761	23.27900	3.00000	6.72500	57.50000
B2721-159	2.01670	1.07566	22.31400	1.00000	8.97100	2.90000	1.08100	82.38000	1.08410	23.34900	1.00000	9.00000	0.00000	0.61600	77.38000	1.07530	17.70800	1.00000	9.00000	0.00000	0.55700	93.25000	1.07901	20.93100	2.50000	9.00000	9.00000
B2721-160	2.31670	1.06238	19.70300	2.00000	8.96400	3.60000	0.71300	74.88000	1.06574	18.33500	2.00000	8.95000	5.00000	0.42700	127.13000	1.06483	21.08100	0.50000	9.00000	0.00000	0.53250	95.25000	1.07218	19.43500	3.00000	8.91154	8.91154
