Clone	PY06	SG06	DM06	ST06	NS06	NI06	PY07	FM07	SG07	DM07	ST07	NS07	NI07	PY08	FM08	SG08	DM08	ST08	NS08	NI08	PY14	FM14	SG14	DM14	ST14	NS14	NI14
B2721-076	1.06670	1.07018	19.49200	0.00000	9.00000	0.00000	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B2721-077	4.01670	1.07257	21.42700	0.00000	8.88000	4.00000	0.96250	82.25000	1.07201	19.23500	0.00000	8.97500	2.50000	0.89500	111.25000	1.07370	19.22400	0.00000	9.00000	0.00000	0.68150	93.25000	1.07060	19.04100	0.50000	8.97500	8.97500
B2721-078	2.20830	1.07988	22.63400	2.00000	9.00000	0.00000	0.61700	104.38000	1.08399	23.94500	1.00000	9.00000	0.00000	0.73450	112.38000	1.07923	21.99300	1.00000	9.00000	0.00000	1.00700	93.25000	1.07935	22.75200	2.50000	8.85000	7.50000
B2721-079	1.53750	1.06887	20.55100	1.00000	8.92900	7.10000	0.91600	75.13000	1.07036	19.95500	0.00000	8.85000	12.50000	0.56650	74.13000	1.06652	15.19600	1.50000	9.00000	0.00000	0.34350	90.37500	1.07056	19.05900	2.00000	8.52500	8.52500
B2721-080	2.31000	1.06725	19.06100	1.00000	8.87800	9.80000	1.05050	73.50000	1.08550	22.93200	0.50000	9.00000	0.00000	0.70650	67.13000	1.07441	18.60800	0.00000	9.00000	0.00000	0.65900	88.62500	1.07691	20.63800	1.50000	8.95000	8.95000
B2721-081	3.10830	1.07111	21.52600	1.00000	6.08100	82.30000	1.52700	71.63000	1.07713	20.39900	1.00000	7.95000	50.00000	0.82100	65.38000	1.06942	17.05700	1.00000	8.32500	32.50000	0.67600	85.75000	1.06752	18.97800	1.00000	5.85735	83.67647
B2721-082	2.97500	1.07165	20.82400	0.00000	8.86300	11.80000	1.28050	77.13000	1.07494	20.12000	0.00000	8.52500	22.50000	0.58950	80.25000	1.07158	21.40400	0.00000	9.00000	0.00000	0.79300	92.37500	1.07076	19.95900	2.00000	8.95000	8.95000
B2721-083	2.82500	1.07910	22.08000	1.00000	8.42900	24.50000	1.44650	57.13000	1.07348	20.59700	2.00000	6.05000	77.50000	0.68000	35.88000	1.06182	16.37300	2.50000	7.75000	50.00000	1.03450	83.75000	1.05982	20.69600	2.50000	4.32500	90.00000
B2721-084	2.05000	1.07767	21.93800	2.00000	9.00000	0.00000	1.11300	37.38000	1.06984	18.84100	2.00000	8.97500	2.50000	0.80800	25.25000	1.06218	19.69700	3.00000	9.00000	0.00000	0.36700	82.87500	1.07356	20.54200	2.00000	8.90000	8.90000
B2721-085	2.52500	1.06917	20.17900	2.00000	8.93600	4.30000	0.95480	86.00000	1.07290	20.05700	2.00000	9.05300	0.00000	0.71050	75.08000	1.06521	20.84700	3.00000	8.92500	2.50000	0.64200	88.62500	1.07360	21.34500	3.00000	8.27368	35.13158
B2721-086	2.73330	1.07010	20.46200	1.00000	8.96800	3.20000	1.36450	37.25000	1.06970	18.77500	0.50000	8.65000	22.50000	0.57350	42.00000	1.06160	18.97400	1.00000	8.92500	2.50000	0.66050	83.75000	1.06210	17.54900	1.00000	8.80000	8.80000
B2721-087	1.76670	1.07356	23.15100	1.00000	9.00000	0.00000	0.88150	75.13000	1.07698	21.05000	0.50000	8.87500	7.50000	0.39150	82.38000	1.07319	22.96800	0.50000	9.00000	0.00000	0.56700	85.75000	1.07533	18.23500	2.00000	8.78462	15.19231
B2721-088	1.06670	1.06628	19.80200	1.00000	9.00000	0.00000	0.49400	82.38000	1.06532	18.87500	1.00000	9.00000	0.00000	0.36700	101.25000	1.06314	18.42300	0.50000	9.00000	0.00000	NA	NA	NA	NA	NA	NA	NA
B2721-089	2.95000	1.07488	20.74700	1.00000	8.15600	40.60000	1.33350	73.38000	1.07735	20.26300	0.00000	8.80000	15.00000	0.85100	81.38000	1.07039	22.42600	0.00000	9.00000	0.00000	1.22950	86.62500	1.07490	18.82300	1.50000	8.82500	8.82500
B2721-090	1.11670	1.07319	19.20500	2.00000	9.00000	0.00000	1.25600	39.38000	1.07005	20.04300	1.50000	8.42500	32.50000	0.75400	25.38000	1.05980	19.48400	1.50000	8.90000	7.50000	0.94550	81.75000	1.05985	17.84200	2.00000	7.87500	7.87500
B2721-091	1.40830	1.07476	18.95300	2.00000	7.60900	43.50000	0.98950	78.63000	1.08512	22.70300	0.50000	8.00000	42.50000	0.73400	110.88000	1.07922	21.77500	1.00000	9.00000	0.00000	0.68450	92.37500	1.08088	15.18400	2.00000	7.32500	52.50000
B2721-092	2.35000	1.06804	18.19100	2.00000	8.54800	19.40000	0.97700	69.75000	1.07100	21.04000	1.00000	7.75000	50.00000	0.94400	70.63000	1.06513	16.20200	1.50000	8.97500	2.50000	0.50800	89.50000	1.07151	20.59000	1.50000	8.50000	8.50000
B2721-093	2.71000	1.07546	18.90000	1.00000	8.81600	10.50000	0.54950	104.13000	1.08797	23.88100	0.00000	9.00000	0.00000	0.39200	108.75000	1.08185	18.04600	0.50000	9.00000	0.00000	0.39200	92.37500	1.08142	21.47200	1.50000	8.90000	7.50000
B2721-094	1.77500	1.06350	19.12800	2.00000	8.93500	6.50000	0.91250	44.63000	1.05806	18.73700	2.00000	8.55000	22.50000	0.59950	36.38000	1.06218	17.07000	1.00000	8.97500	2.50000	0.67300	85.75000	1.06038	18.03900	2.00000	8.40000	8.40000
B2721-095	1.70000	1.07607	21.97100	2.00000	9.00000	0.00000	1.24750	60.75000	1.07975	20.67800	2.00000	9.00000	0.00000	0.88850	69.00000	1.07193	20.06300	1.00000	9.00000	0.00000	0.99050	88.62500	1.08024	21.23300	3.00000	8.90000	10.00000
B2721-096	2.66670	1.07898	19.31600	2.00000	8.96800	3.20000	0.73700	69.63000	1.07933	20.23600	2.00000	9.00000	0.00000	0.41700	95.13000	1.07526	19.99800	1.00000	8.97500	2.50000	0.68350	89.50000	1.07374	21.12200	2.50000	8.65000	8.65000
B2721-097	1.74170	1.07127	20.16100	1.00000	8.80800	15.40000	0.73150	75.13000	1.07407	20.62400	1.00000	8.30000	42.50000	0.42700	87.38000	1.07097	19.89700	0.50000	9.00000	0.00000	0.31250	93.25000	1.07285	20.27700	2.00000	7.52500	54.16667
B2721-098	1.37500	1.07096	18.60600	2.00000	8.37500	34.40000	0.54800	71.38000	1.07157	20.84700	3.00000	8.50000	15.00000	NA	NA	NA	NA	NA	NA	NA	0.23950	92.37500	1.06304	19.92200	3.00000	8.72500	8.72500
B2721-099	3.24170	1.06975	17.84700	1.00000	6.43900	57.90000	1.62300	57.50000	1.07624	19.72500	1.00000	6.80000	67.50000	NA	NA	NA	NA	NA	NA	NA	0.57050	85.75000	1.06812	21.08700	2.00000	5.22500	92.50000
B2721-100	1.67500	1.06616	16.59900	2.00000	9.00000	0.00000	0.79250	86.12000	1.07363	19.48300	1.50000	9.00000	0.00000	0.43600	107.25000	1.06637	15.47700	2.50000	8.97500	2.50000	0.52500	93.25000	1.06643	17.26500	2.50000	8.90000	8.90000
B2721-101	2.55830	1.07854	22.24600	2.00000	8.97100	2.90000	0.92750	89.62000	1.08039	21.27100	1.00000	9.00000	0.00000	0.54300	102.13000	1.07437	23.45800	1.50000	9.00000	0.00000	0.66950	91.50000	1.07026	20.40600	3.00000	8.92500	5.00000
B2721-102	2.48330	1.06648	17.22000	2.00000	8.96400	3.60000	1.17250	69.87000	1.06885	19.94900	2.00000	9.00000	0.00000	0.77200	64.50000	1.06367	19.58300	1.00000	8.97500	2.50000	0.33800	95.25000	1.05589	19.49900	3.00000	8.97500	8.97500
B2721-103	2.17500	1.07068	19.08200	2.00000	8.64500	16.10000	1.34050	69.75000	1.07018	20.16100	2.00000	8.70000	15.00000	0.92300	37.13000	1.05817	20.99200	1.50000	8.47500	22.50000	0.64400	92.37500	1.06645	22.57700	3.00000	8.57500	22.50000
B2721-104	2.82500	1.06591	19.17600	1.00000	9.00000	0.00000	1.37500	93.50000	1.07726	19.21600	0.00000	9.00000	0.00000	0.85800	121.25000	1.07145	19.38300	0.00000	9.00000	0.00000	0.49250	95.25000	1.07147	19.04100	2.00000	8.67500	8.67500
B2721-105	2.79170	1.08025	21.44400	2.00000	9.00000	0.00000	0.84300	97.00000	1.08896	22.68500	1.00000	9.00000	0.00000	0.64450	104.25000	1.08874	18.95300	1.00000	9.00000	0.00000	0.32450	96.12500	1.07733	22.55200	2.00000	9.00000	0.00000
B2721-106	2.97500	1.07445	20.98300	1.00000	8.36600	24.40000	1.17600	80.62000	1.07538	20.85000	0.00000	8.95000	5.00000	0.58750	78.63000	1.07699	17.91600	0.00000	9.00000	0.00000	0.73850	91.50000	1.07698	19.42400	1.50000	8.27500	8.27500
B2721-107	2.41670	1.07721	21.36400	2.00000	9.00000	0.00000	1.05100	100.50000	1.08406	21.94700	1.00000	8.90000	10.00000	0.66450	104.88000	1.07903	28.00100	2.50000	9.00000	0.00000	0.49990	100.12500	1.08077	21.11600	1.50000	8.85000	10.00000
B2721-108	1.81670	1.07480	21.31400	2.00000	8.97500	2.50000	0.85850	78.62000	1.07919	21.87400	1.00000	8.85000	10.00000	0.38450	90.75000	1.07637	20.81300	1.00000	9.00000	0.00000	0.50600	89.50000	1.07964	23.03700	2.50000	8.92500	8.92500
B2721-109	1.65830	1.07139	21.18900	2.00000	8.88500	7.70000	0.95100	93.50000	1.08060	21.77200	1.50000	8.30000	32.50000	0.47900	82.75000	1.07934	19.78500	1.00000	9.00000	0.00000	0.90250	92.37500	1.07537	21.43900	3.00000	8.92500	7.50000
B2721-110	3.44000	1.07090	22.25000	2.00000	8.53300	17.80000	1.41600	53.63000	1.06516	19.44500	2.00000	8.05000	40.00000	0.97600	41.88000	1.06074	21.24100	2.50000	9.00000	0.00000	1.01800	88.62500	1.06246	20.65900	2.50000	8.55000	22.50000
B2721-111	2.25000	1.07150	19.86700	2.00000	8.20500	40.90000	0.81050	46.37000	1.07010	20.98000	2.50000	8.47500	22.50000	0.62150	49.50000	1.06387	22.22000	2.50000	9.00000	0.00000	0.36150	84.62500	1.06677	19.66200	3.00000	8.87500	8.87500
B2721-112	1.90000	1.07335	20.44600	1.00000	8.83800	13.50000	0.55300	84.38000	1.07958	22.48300	0.50000	8.85000	7.50000	0.46900	92.13000	1.07440	18.62000	0.50000	9.00000	0.00000	0.70950	92.37500	1.07482	21.78500	2.00000	8.60000	20.00000
B2721-113	2.06670	1.07368	19.88000	2.00000	9.00000	0.00000	1.06700	41.25000	1.06921	19.93600	2.00000	9.00000	0.00000	0.67550	55.83000	1.06465	18.12400	1.50000	9.00000	0.00000	NA	NA	NA	NA	NA	NA	NA
B2721-114	1.53330	1.06599	18.19600	0.00000	9.00000	0.00000	0.57700	130.00000	1.07559	20.18300	0.00000	8.87500	5.00000	0.20950	138.00000	1.07052	15.16400	0.00000	9.00000	0.00000	0.65300	93.25000	1.07428	20.09400	1.50000	8.67500	8.67500
B2721-115	1.78330	1.07055	19.50400	0.00000	8.94700	5.30000	0.98250	93.25000	1.07722	20.56600	1.00000	9.00000	0.00000	0.46650	116.00000	1.07918	21.24800	0.00000	9.00000	0.00000	0.73500	95.25000	1.07454	19.54000	1.50000	8.52500	15.00000
B2721-116	3.83330	1.07333	19.73600	1.00000	7.71000	48.40000	0.99400	75.25000	1.07829	20.98400	0.50000	8.77500	12.50000	0.49200	73.50000	1.07551	16.82500	0.50000	9.00000	0.00000	0.81200	91.50000	1.08062	20.63800	2.00000	8.60000	8.60000
B2721-117	2.06670	1.07408	21.17200	1.00000	9.00000	0.00000	0.76250	89.62000	1.07568	20.25500	1.00000	8.97500	2.50000	0.49050	120.38000	1.07248	16.09500	1.50000	9.00000	0.00000	0.47250	95.25000	1.07431	19.88800	2.00000	8.87500	5.00000
